date	ur	pi_gr	nyse_gr	tb_sqrt_diff	ics_log_diff	pce_gr_diff	perc_pos_rev_weighted	perc_neg_rev_weighted	perc_uncert_rev_weighted	perc_litig_rev_weighted	perc_modal_wk_rev_weighted	perc_modal_mod_rev_weighted	perc_constrain_rev_weighted	perc_modal_str_rev_weighted_diff
2017-05-01	4.3	0.004166183	0.005370976	0.048970922	0.001030397	0.001386729	2.042821255	0.992632097	0.789621266	0.118625827	0.324742709	0.57604145	0.072911329	-0.002626393
2017-06-01	4.3	0.000115436	0.014111873	0.04655138	-0.021864484	0.000835312	2.027040166	1.028209484	0.821266465	0.128936791	0.306911305	0.545396806	0.076143482	-0.005913297
2017-07-01	4.3	-0.001255543	0.012645405	0.04445855	-0.016985546	-0.005598778	2.299178766	0.933051145	0.751649953	0.114939927	0.281703629	0.59692082	0.081322006	-0.036140553
2017-08-01	4.4	0.00420819	-0.007685665	-0.029420481	0.035755649	0.006368168	2.301602585	0.948226296	0.746192705	0.108557904	0.284616141	0.570424441	0.076148605	-0.014955122
2017-09-01	4.2	0.004945126	0.028080029	0.009901594	-0.017718025	0.004485596	2.374484769	0.919403327	0.80823473	0.125100776	0.328568348	0.588347267	0.090182849	0.043268944
2017-10-01	4.1	-0.002285382	0.004046581	0.019518887	0.05721683	-0.010313917	1.82769021	1.072990926	0.841876606	0.050705925	0.443232227	0.694867079	0.070608925	-0.015091414
2017-11-01	4.1	0.00321713	0.023238782	0.074645607	-0.022089252	0.00917847	1.824424954	1.004652459	0.853182713	0.064049381	0.452797872	0.724146511	0.065808277	0.016281725
2017-12-01	4.1	0.00353947	0.014336625	0.039858879	-0.026750566	-0.004304916	1.783960574	1.006678137	0.845000924	0.065282311	0.466247503	0.748843316	0.069556885	-0.017273902
2018-01-01	4.1	0.005031975	0.038431474	0.038521679	-0.002087683	-0.005466034	2.019704952	0.95414695	0.839188015	0.091215272	0.427890209	0.702086946	0.084089836	0.110257569
2018-02-01	4.1	0.003281744	-0.053516778	0.0655622	0.040947379	0.001662552	2.004128983	0.963726586	0.815628697	0.09850041	0.414424028	0.688219332	0.091516011	0.015686864
2018-03-01	4.1	0.003938295	-0.015845837	0.050844072	0.016907414	0.007407323	2.016780986	0.979255574	0.800768534	0.102810096	0.402890395	0.677247158	0.078647361	-0.032413239
2018-04-01	3.9	-0.004826832	-0.002902629	0.022809435	-0.025975486	-0.008890933	1.926136585	1.068872914	0.777739011	0.095691095	0.379909479	0.669961046	0.07209203	-0.064944698
2018-05-01	3.8	0.003728023	0.000941187	0.037168254	-0.008130126	0.008167635	1.915106882	1.074676969	0.803268653	0.082565466	0.401342812	0.709647757	0.061652242	0.054861966
2018-06-01	4	0.003863002	-0.001827205	0.014586706	0.002038737	-0.001110313	2.043835522	0.890238545	0.815789663	0.09484385	0.312586209	0.506602308	0.101760514	0.114463464
